"YXFLL104","Crossland Ft Lauderdale","3031 West Commercial Blvd","Fort Lauderdale","FL","33309","62.7","SNR","C1K","No","Room with bath - Standard","King","1","20181202"
"MXPPM371","Motel 6 Pompano Beach","1201 Nw 31st Ave","Pompano Beach","FL","33069","75.99","RAC","U1D","No","Suite","Double","1","20181202"
"MXFLL376","Motel 6 Dania Beach","825 E Dania Beach Blvd","Dania Beach","FL","33004","75.99","RAC","N2D","No","Non-smoking","Double","2","20181202"
"MSFLL046","Plantation Inn Hotel And Lounge","375 N. State Rd. 7","Plantation","FL","33317","76.46","SEN","N2D","No","Non-smoking","Double","2","20181202"
"XTFLL7C8","Sawgrass Grand Hotel","3003 North University Drive","Sunrise","FL","33322","79.2","ADV","S1K","No","Suite","King","1","20181202"
"TAHWO101","Hollywood Beach Resort Cruise Port","101 North Ocean Drive","Hollywood","FL","33019","84.0","PK7","CST","No","Room with bath - Standard","Twin","Unknown","20181202"
"YXFLL000","Americas Best Inn And Suites","2935 N Federal Highway","Fort Lauderdale","FL","33306","84.99","SP5","N1D","No","Non-smoking","Double","1","20181202"
"MXFLL055","Motel 6 Ft Lauderdale","1801 Sr 84","Ft Lauderdale","FL","33315","85.99","RAC","UD1","No","Suite","Other","Unknown","20181202"
"LQFLLDAE","La Quinta Inn Ft Lauderdale Northeast","5727 North Federal Hwy","Fort Lauderdale","FL","33308","89.0","RAC","A2D","No","Room with bath - Superior","Double","2","20181202"
"SCFLL798","Sawgrass Inn Conference Ctr","1711 N University Drive","Plantation","FL","33322","89.0","BAR","F1K","No","Room with shower - Moderate","King","1","20181202"
"BWFLL401","Best Western Ft Lauderdale I95","4800 Nw 9th Ave","Fort Lauderdale","FL","33309 3808","80.75","DB6","A1K","No","Room with bath - Superior","King","1","20181202"
"QIHWO708","Quality Inn And Suites Hollywood Bouleva","4900 Hollywood Blvd","Hollywood","FL","33021","98.1","SNR","N2Q","No","Non-smoking","Queen","2","20181202"
"YXFLL054","Ocean Beach Palace Hotel","4041 N Ocean Blvd","Ft Lauderdale","FL","33308","99.0","RAC","F1K","No","Room with shower - Moderate","King","1","20181202"
"LQFLL982","La Quinta Inn Ste Plantation","8101 Peters Road","Plantation","FL","33324","99.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20181202"
"YXFLL060","Ocean Beach Club","4051 N Ocean Blvd","Ft Lauderdale","FL","33308","99.0","RAC","A1K","No","Room with bath - Superior","King","1","20181202"
"LQFLL942","La Quinta Inn Ste Cypress Creek","999 West Cypress Creek Road","Ft Lauderdale","FL","33309","99.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181202"
"EAFLLPLN","Extended Stay America Davie","7550 State Road 84","Davie","FL","33317","103.49","PRO","I1K","No","Room with bath/shower - Superior","King","1","20181202"
"OZFLL564","Super 8 Dania Ft. Lauderdale","333 South Federal Highway","Dania","FL","33004","107.1","AR1","H2Q","No","Room with shower - Minimum","Queen","2","20181202"
"LQFLLLKW","La Quinta Inn Ste Ft Lauderdale Tamarac","5070 North State Road 7","Ft Lauderdale","FL","33319","99.0","RAC","C1D","No","Room with bath - Standard","Double","1","20181202"
"LQFLLLKP","La Quinta Inn Ste Plantation Sw 6th St","7901 Southwest 6th Street","Plantation","FL","33324","99.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181202"
