"TAHWO101","Hollywood Beach Resort Cruise Port","101 North Ocean Drive","Hollywood","FL","33019","45.0","SAV","CST","No","Room with bath - Standard","Twin","Unknown","20181011"
"MXPPM371","Motel 6 Pompano Beach","1201 Nw 31st Ave","Pompano Beach","FL","33069","69.99","RAC","U1D","No","Suite","Double","1","20181011"
"MXFLL055","Motel 6 Ft Lauderdale","1801 Sr 84","Ft Lauderdale","FL","33315","73.99","RAC","UD1","No","Suite","Other","Unknown","20181011"
"MXFLL376","Motel 6 Dania Beach","825 E Dania Beach Blvd","Dania Beach","FL","33004","75.99","RAC","N2D","No","Non-smoking","Double","2","20181011"
"RAHWO223","Ramada Hollywood Downtown","1925 Harrison Street","Hollywood","FL","33020-5017","78.4","B03","N1K","No","Non-smoking","King","1","20181011"
"XTFLL7C8","Sawgrass Grand Hotel","3003 North University Drive","Sunrise","FL","33322","79.2","ADV","S1K","No","Suite","King","1","20181011"
"MSFLL046","Plantation Inn Hotel And Lounge","375 N. State Rd. 7","Plantation","FL","33317","76.46","SEN","N2D","No","Non-smoking","Double","2","20181011"
"EAPPMHPB","Extended Stay America Pompano","1401 W. Mcnab Rd","Pompano Beach","FL","33069","76.49","PRO","N1Q","No","Non-smoking","Queen","1","20181011"
"EAFLL869","Extended Stay America Cyp Cr","5851 North Andrews Ave Extension","Ft Lauderdale","FL","33309","89.99","PRO","A06","No","Room with bath - Superior","Other","0","20181011"
"OZFLL500","Super 8 Pompano Beach","Us Hwy 1 & 10th Street","Pompano Beach","FL","33062","89.99","AAA","QQ1","No","unknown","Other","Unknown","20181011"
"BWFLL401","Best Western Ft Lauderdale I95","4800 Nw 9th Ave","Fort Lauderdale","FL","33309 3808","84.99","DB6","A1K","No","Room with bath - Superior","King","1","20181011"
"SCFLL798","Sawgrass Inn Conference Ctr","1711 N University Drive","Plantation","FL","33322","89.0","BAR","F1K","No","Room with shower - Moderate","King","1","20181011"
"RAFLL584","Ramada Plaza Ft Lauderdale","5100 N. State Road 7","Ft Lauderdale","FL","FL  33319","89.1","AR1","C5D","No","Room with bath - Standard","Double","5","20181011"
"LQFLLLKW","La Quinta Inn Ste Ft Lauderdale Tamarac","5070 North State Road 7","Ft Lauderdale","FL","33319","99.0","RAC","C1D","No","Room with bath - Standard","Double","1","20181011"
"LQFLLDAE","La Quinta Inn Ft Lauderdale Northeast","5727 North Federal Hwy","Fort Lauderdale","FL","33308","89.0","RAC","A2D","No","Room with bath - Superior","Double","2","20181011"
"OZFLL564","Super 8 Dania Ft. Lauderdale","333 South Federal Highway","Dania","FL","33004","107.1","AAA","QQ1","No","unknown","Other","Unknown","20181011"
"FNFLLADF","Fairfield Inn N Stes Marriott","2081 Griffin Road","Dania Beach","FL","33312","109.65","S9R","XMI","No","unknown","Other","Unknown","20181011"
"LQFLL942","La Quinta Inn Ste Cypress Creek","999 West Cypress Creek Road","Ft Lauderdale","FL","33309","99.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181011"
"LQFLL982","La Quinta Inn Ste Plantation","8101 Peters Road","Plantation","FL","33324","99.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20181011"
"LQFLLLKP","La Quinta Inn Ste Plantation Sw 6th St","7901 Southwest 6th Street","Plantation","FL","33324","99.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181011"
