"OZMEM496","Super 8 Memp Dwntn Gracelnd Ar","340 W Illinois Street","Memphis","TN","38106","46.75","SP1","C4Q","No","Room with bath - Standard","Queen","4","20181118"
"OZMEM126","Super 8 West Memphis Ar","901 Martin Luther King Jr Dr","West Memphis","AR","72301-3710","52.7","SP1","C4Q","No","Room with bath - Standard","Queen","4","20181118"
"LQMEM377","La Quinta Inn Ste Mem Ap Graceland","2979 Millbranch Rd","Memphis","TN","38116","92.0","RAC","H1K","No","Room with shower - Minimum","King","1","20181118"
"BWMEM175","Best Western Plus Gen X Inn","1177 Madison Avenue","Memphis","TN","38104","89.99","SRS","A1K","No","Room with bath - Superior","King","1","20181118"
"CYMEMCAC","Courtyard Airport Marriott","1780 Nonconnah Blvd","Memphis","TN","38131","124.0","RAC","REG","No","unknown","Other","Unknown","20181118"
"CYMEMCDC","Courtyard Downtown Marriott","75 Jefferson Ave","Memphis","TN","38103","144.0","S9R","XMI","No","unknown","Other","Unknown","20181118"
"PWMEMMHL","Madison","79 Madison Avenue","Memphis","TN","38103","127.2","PRO","F1Q","No","Room with shower - Moderate","Queen","1","20181118"
"DTMEM030","Dbltree By Hilton Memphis Downtown","185 Union Avenue","Memphis","TN","38103","141.3","RAC","C1Q","No","Room with bath - Standard","Queen","1","20181118"
"XVMEMMPS","Springhill Stes Dwtn Marriott","85 West Court Avenue","Memphis","TN","38103","170.1","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181118"
"WVMEM121","The Peabody","149 Union Avenue","Memphis","TN","38103","242.1","AAA","H2*","No","Room with shower - Minimum","Unspecified","2","20181118"
