"OZAUS181","Super 8 Austin University-dwtn","5526 N Ih-35","Austin","TX","78751","63.0","BAR","PNQ","No","Executive suite","Queen","Unknown","20181230"
"DIAUS310","Days Inn Austin University Dwt","3105 N I-35","Austin","TX","78722","66.29","SP1","H1K","No","Room with shower - Minimum","King","1","20181230"
"LQAUS530","La Quinta Inn Austin University Area","5812 I-35 North","Austin","TX","78751","69.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181230"
"LQAUS478","La Quinta Inn Austin South I-35","4200 I-35 South","Austin","TX","78745 1202","79.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181230"
"LQAUS522","La Quinta Inn Austin Oltorf","1603 East Oltorf","Austin","TX","78741","79.0","RAC","A07","No","Room with bath - Superior","Other","0","20181230"
"RCAUSRAR","Residence Inn Airport Marriott","3201 Caseybridge Court","Austin","TX","78744","84.0","RAC","XMI","No","unknown","Other","Unknown","20181230"
"MCAUSAPM","Austin Marriott South","4415 South Ih-35","Austin","TX","78744","87.2","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181230"
"RCAUSRIR","Residence Inn Nwest Marriott","3713 Tudor Blvd","Austin","TX","78759","87.96","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181230"
"OZAUS079","Super 8 Austin North-universit","8128 N. Interstate 35","Austin","TX","78753","89.1","AAA","QQ1","No","unknown","Other","Unknown","20181230"
"RCAUSRSR","Residence Inn South Marriott","4537 South Ih 35","Austin","TX","78744","89.1","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181230"
"OMAUSSTH","Omni Austin At Southpark Hotel","4140 Governors Row","Austin","TX","78744","92.0","AR1","DKA","No","Room with bath - Minimum","Other","Unknown","20181230"
"XVAUSSNS","Springhill Stes Nwest Marriott","10936 Stonlake Boulevard","Austin","TX","78759","93.0","RAC","XMI","No","unknown","Other","Unknown","20181230"
"LQAUS177","La Quinta Inn Ste Austin Sw","4424 South Mopac Expressway","Austin","TX","78735","105.0","RAC","H2D","No","Room with shower - Minimum","Double","2","20181230"
"TOAUSTST","Towneplace Stes Tech Marriott","12427 Tech Ridge Boulevar","Austin","TX","78753","110.0","S9R","XMI","No","unknown","Other","Unknown","20181230"
"OZAUS887","Super 8 Austin Downtown","1201 North I-35","Austin","TX","78702","112.5","AAA","NQ1","No","Non-smoking","Other","Unknown","20181230"
"LQAUS186","La Quinta Inn Ste Austin Airport","7625 E Ben White Blvd","Austin","TX","78741","125.0","RAC","C2D","No","Room with bath - Standard","Double","2","20181230"
"BWAUS735","Best Western Plus Austin Centr","919 East Koenig Lane","Austin","TX","78751","135.99","DB6","W2D","No","Room at weekend rate","Double","2","20181230"
"RCAUSWER","Residence Inn Aus Sw Marriott","6000 Us Hwy 290 West","Austin","TX","78735","143.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181230"
"HYAUSADW","Hyatt Place Austin Downtown","211 East 3rd Street","Austin","TX","78749","179.55","***","QQN","No","unknown","Other","Unknown","20181230"
"SIAUS079","Sheraton Austin At The Capitol","701 East 11th Street","Austin","TX","78701","187.02","A16","A1K","No","Room with bath - Superior","King","1","20181230"
