"BWCVG111","Bw Plus Cincinnati Riverfront","200 Crescent Avenue","Covington","KY","41011-1002","134.1","DB6","A2Q","No","Room with bath - Superior","Queen","2","20181031"
"BWCVG077","Best Western Premier Mariemont","6880 Wooster Pike","Cincinnati","OH","45227","156.6","SRS","B1K","No","Room with bath - Moderate","King","1","20181031"
"HXCVG342","Hampton Ste Cincinnati-mason, Oh","5232 Bardes Road","Mason","OH","45040","141.55","RAC","D2Q","No","Room with bath - Minimum","Queen","2","20181031"
"HICVG039","Holiday Inn Cincinnati Airport","1717 Airport Exchange Blvd.","Erlanger","KY","41018","171.95","482","*RH","No","Unspecified","Other","Unknown","20181031"
"HXCVG093","Hampton Inn Blue Ash Cincinna","4761 Creek Road","Blue Ash","OH","45242","159.0","RAC","D2Q","No","Room with bath - Minimum","Queen","2","20181031"
"ETCVGKGE","Kingsgate Marriott Conf Center","151 Goodman Dr","Cincinnati","OH","45219","186.0","S9R","XMI","No","unknown","Other","Unknown","20181031"
"ESCVGD86","Embassy Suites Blue Ash","4554 Lake Forest Drive","Cincinnati","OH","45242","160.55","AAA","A1D","No","Room with bath - Superior","Double","1","20181031"
"ARCVGBCA","Ac By Marriott Cincin Downtown","135 Joe Nuxhall Way","Cincinnati","OH","45202","188.0","RAC","APN","No","Room with bath - Superior","Other","Unknown","20181031"
"HXCVG348","Hmptn Inn And Suites Downtown Cincinnati","617 Vine Street","Cincinnati","OH","45202","189.05","RAC","G1K","No","Room with shower - Standard","King","1","20181031"
"HHCVG253","Hilton Cincinnati Netherlands","35 West Fifth St","Cincinnati","OH","45202-2899","234.0","PKG","A1Q","No","Room with bath - Superior","Queen","1","20181031"
"RCCVGCDR","Residence Inn Dwtn Marriott","506 East 4th Street","Cincinnati","OH","45202","259.0","RAC","REG","No","unknown","Other","Unknown","20181031"
